            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"46040DO0004 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,,
"Table 4.1 Detailed gross physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Input,Commodity,Measure or Industry division (ANZSIC) ,ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Production of Energy,Natural gas,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Biofuels,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,3,3,2,3,3,4,5,6,7,7,7,8,7,6,5,5
Supply,Production of Energy,Wood and wood waste,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Bagasse,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,95,101,108,109,111,111,65,93,83,85,95,90,103,103,110,100
Supply,Production of Energy,Electricity,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,2,2,2,2,2,2,3,3,3,4,2,2,2,2,2,2
Supply,Production of Energy,Hydro energy,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wind energy,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,29,30,31,31,32,30,43,73,69,68,83,74,84,82,91,80
Supply,Production of Energy,Black coal,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Briquettes,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Natural gas,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Biofuels,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,2,2,2,2,2,3,3,4,4,5,4,5,5,4,4,4
Supply,Production of Energy,Wood and wood waste,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,23,23,23,24,26,27,21,22,23,22,19,20,20,22,22,21
Supply,Production of Energy,Bagasse,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
